model,dataset,seed,signal,n_test,AURC_sq,AURC_signal,delta_aurc_over_sq
qwen2_5_7b,truthfulqa,1,verbalized_confidence,326,0.43983728629069535,0.3894165007169844,0.050420785573710936
qwen2_5_7b,truthfulqa,1,V_pos_minus_V_neg,326,0.43983728629069535,0.3118100195605175,0.12802726673017784
qwen2_5_7b,truthfulqa,1,logprob_margin,326,0.43983728629069535,0.18115252211344854,0.25868476417724684
qwen2_5_7b,truthfulqa,1,ntok,326,0.43983728629069535,0.4864587409088807,-0.04662145461818534
qwen2_5_7b,truthfulqa,1,hidden_state_answer_probe,326,0.43983728629069535,0.3784974182404011,0.06133986805029423
qwen2_5_7b,truthfulqa,2,verbalized_confidence,326,0.3708198929412142,0.34041913109033733,0.030400761850876867
qwen2_5_7b,truthfulqa,2,V_pos_minus_V_neg,326,0.3708198929412142,0.3144564900464808,0.056363402894733405
qwen2_5_7b,truthfulqa,2,logprob_margin,326,0.3708198929412142,0.152070583878426,0.2187493090627882
qwen2_5_7b,truthfulqa,2,ntok,326,0.3708198929412142,0.47996813938463345,-0.10914824644341925
qwen2_5_7b,truthfulqa,2,hidden_state_answer_probe,326,0.3708198929412142,0.31666218395559165,0.054157708985622555
