method,aurc,coverage_at_acc_80,coverage_at_acc_90,n,model_key,dataset,seed
phillips_sum,0.5843795216433965,6.550075325866247e-05,6.550075325866247e-05,15267,mistral_7b,medqa,0
gap,0.594993862456487,0.0,0.0,15267,mistral_7b,medqa,0
probe_amb_only,0.6596875546357526,0.0,0.0,15267,mistral_7b,medqa,0
probe_pred_only,0.43350382835440304,0.1319840178162049,0.05240060260692998,15267,mistral_7b,medqa,1
logit_pred,0.43350389032294917,0.1319840178162049,0.05240060260692998,15267,mistral_7b,medqa,1
logprob,0.4855648363737474,0.00923560620947141,0.00013100150651732494,15267,mistral_7b,medqa,1
phillips_sum,0.5800000372554804,0.0,0.0,15267,mistral_7b,medqa,1
gap,0.5895357537851564,6.550075325866247e-05,6.550075325866247e-05,15267,mistral_7b,medqa,1
probe_amb_only,0.6594728232338379,0.0,0.0,15267,mistral_7b,medqa,1
probe_pred_only,0.4349752925106775,0.1192113709307657,0.04794655138534093,15267,mistral_7b,medqa,2
logit_pred,0.4349752925106775,0.1192113709307657,0.04794655138534093,15267,mistral_7b,medqa,2
logprob,0.48306977999637357,0.00032750376629331237,0.00019650225977598743,15267,mistral_7b,medqa,2
gap,0.5854594806459371,0.0006550075325866247,0.0,15267,mistral_7b,medqa,2
phillips_sum,0.5887143800374252,0.0,0.0,15267,mistral_7b,medqa,2
probe_amb_only,0.6655693187796213,0.0,0.0,15267,mistral_7b,medqa,2
probe_pred_only,0.35587175033944074,0.3172043010752688,0.20295698924731181,744,mistral_7b,pavlick_nli,0
logit_pred,0.35587175033944074,0.3172043010752688,0.20295698924731181,744,mistral_7b,pavlick_nli,0
phillips_sum,0.376529658249128,0.2970430107526882,0.1989247311827957,744,mistral_7b,pavlick_nli,0
gap,0.3819983199408312,0.19086021505376344,0.12096774193548387,744,mistral_7b,pavlick_nli,0
logprob,0.39030884495782436,0.2163978494623656,0.06854838709677419,744,mistral_7b,pavlick_nli,0
probe_amb_only,0.701366950792311,0.0,0.0,744,mistral_7b,pavlick_nli,0
probe_pred_only,0.34875322232785533,0.3467741935483871,0.2325268817204301,744,mistral_7b,pavlick_nli,1
logit_pred,0.34875322232785533,0.3467741935483871,0.2325268817204301,744,mistral_7b,pavlick_nli,1
phillips_sum,0.3634570769428902,0.33736559139784944,0.22983870967741934,744,mistral_7b,pavlick_nli,1
gap,0.37266512814982833,0.23790322580645162,0.13978494623655913,744,mistral_7b,pavlick_nli,1
logprob,0.38937470336523744,0.17473118279569894,0.06182795698924731,744,mistral_7b,pavlick_nli,1
probe_amb_only,0.6967369453681427,0.0,0.0,744,mistral_7b,pavlick_nli,1
probe_pred_only,0.35763672850519856,0.3239247311827957,0.20698924731182797,744,mistral_7b,pavlick_nli,2
logit_pred,0.35763672850519856,0.3239247311827957,0.20698924731182797,744,mistral_7b,pavlick_nli,2
phillips_sum,0.3691538261917855,0.31048387096774194,0.20833333333333334,744,mistral_7b,pavlick_nli,2
gap,0.3859657989586009,0.21505376344086022,0.11424731182795698,744,mistral_7b,pavlick_nli,2
logprob,0.3921065150429766,0.21505376344086022,0.07123655913978495,744,mistral_7b,pavlick_nli,2
probe_amb_only,0.6909982605323459,0.0,0.0,744,mistral_7b,pavlick_nli,2
probe_pred_only,0.3877698514704631,0.23224290619916862,0.12922465208747516,11066,mistral_7b,popqa,0
logit_pred,0.38776987264854834,0.23224290619916862,0.12922465208747516,11066,mistral_7b,popqa,0
phillips_sum,0.5054898194767015,0.05611783842400145,0.02195915416591361,11066,mistral_7b,popqa,0
gap,0.5693762956467774,0.020332550153623712,0.006506416049159588,11066,mistral_7b,popqa,0
probe_amb_only,0.6178405263744906,0.0037050424724380986,9.036688957166094e-05,11066,mistral_7b,popqa,0
seq_entropy,0.6663404996389559,9.036688957166094e-05,9.036688957166094e-05,11066,mistral_7b,popqa,0
logprob,0.6663614684676253,9.036688957166094e-05,9.036688957166094e-05,11066,mistral_7b,popqa,0
