model,dataset,model_key,dataset_key,alpha,stc_mean,stc_p05,stc_p50,stc_p95,observed_stc,n,y_defer_rate,error_rate
Mistral,ChaosNLI,mistral_7b,chaosnli,0.0,0.01040201939670418,0.0007055066147665097,0.007793582091644118,0.02765518321934933,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.05,0.05738345069794811,0.03840506796957497,0.05727415033823921,0.07688174865088239,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.1,0.12039953916579071,0.09896337537585541,0.12152503746441473,0.13998793606389048,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.15000000000000002,0.1915717977189378,0.17133793788580037,0.19094553619844365,0.21310101451781452,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.2,0.2687762545025057,0.2470727479408499,0.2692282262602209,0.2910513724048012,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.25,0.35954872620885675,0.33864872499425,0.3596964293976524,0.3808179853954529,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.30000000000000004,0.4610503575493346,0.44425650498325137,0.4612423716947691,0.4778959062314959,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.35000000000000003,0.5802025199509109,0.5624190560198957,0.5801434386753929,0.5978678213308892,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.4,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.45,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
Mistral,ChaosNLI,mistral_7b,chaosnli,0.5,0.6325780706979041,0.632578070697904,0.6325780706979041,0.6325780706979043,0.0010686092361042471,5855,0.31238257899231425,0.5316823228010248
